descriptor_id,reference_key,implementation_version,exact_expression,scientific_definition,base_terms,coefficients,coefficient_interpretation,normalization,mixture_or_contrast_rule,invalid_or_missing_behavior,unit_or_range
aem__neutral_ionogenic_fraction,aem__neutral_ionogenic_fraction,aem-reference-v1.0.0,"weighted_scalar_merge(neutral_ionogenic_fraction; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of detected ionogenic sites represented as neutral precursor sites rather than explicit fixed cations.,neutral_ionogenic_fraction,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ring_cation_fraction,aem__ring_cation_fraction,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(ring_flags)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of detected ionogenic sites located in a ring.,"float, np, ring_flags",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__sidechain_flexibility,aem__sidechain_flexibility,aem-reference-v1.0.0,"weighted_scalar_merge(flexibility_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Sum of repeat-unit rotatable bonds and the mean oxygen-rich cation-neighborhood count, divided by repeat-unit heavy-atom count.",flexibility_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__sn2_risk,aem__sn2_risk,aem-reference-v1.0.0,"weighted_scalar_merge(sn2_risk_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed heuristic sum of benzylic-link density, aryl-ether density, and a short cation-to-anchor-distance contribution.",sn2_risk_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__spacer_branching_index,aem__spacer_branching_index,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(branching_scores)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean count of branching carbon atoms encountered within three graph bonds of each detected ionogenic site.,"branching_scores, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__spacer_length,aem__spacer_length,aem-reference-v1.0.0,"weighted_scalar_merge(spacer_len; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean shortest graph-topological cation-to-anchor distance in the repeat unit.,spacer_len,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__spacer_oeg_unit_count,aem__spacer_oeg_unit_count,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(oeg_counts)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean count of oxygen atoms encountered within three graph bonds of each detected ionogenic site.,"float, np, oeg_counts",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__steric_hindrance,aem__steric_hindrance,aem-reference-v1.0.0,"weighted_scalar_merge(steric_hindrance_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Cyclic-cation fraction plus the spacer-branching summary normalized by heavy-atom count.,steric_hindrance_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__sulfone_motif_density,aem__sulfone_motif_density,aem-reference-v1.0.0,"weighted_scalar_merge(sulfone_count / heavy_atoms; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of sulfone motifs divided by repeat-unit heavy-atom count.,"heavy_atoms, sulfone_count",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__transport_stability_balance,aem__transport_stability_balance,aem-reference-v1.0.0,"weighted_scalar_merge(transport_stability_balance; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fixed combination of channel-index and hydration/transport-window summaries divided by one plus the alkaline-vulnerability summary.,transport_stability_balance,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__water_network,aem__water_network,aem-reference-v1.0.0,"weighted_scalar_merge(water_network_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed structural combination of hydrophilic density, oxygen-rich spacer environment, pendant-site fraction, and neutral-site fraction, penalized by hydrophobicity and backbone-bound fraction.",water_network_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__accessibility_contrast,aem__accessibility_contrast,aem-reference-v1.0.0,abs(unit1[aem__cation_accessibility] - unit2[aem__cation_accessibility]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit cation-accessibility structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__alkaline_risk_contrast,aem__alkaline_risk_contrast,aem-reference-v1.0.0,abs(unit1[aem__alkaline_vulnerability] - unit2[aem__alkaline_vulnerability]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit alkaline-vulnerability structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__architecture_weighted_channel_index,aem__architecture_weighted_channel_index,aem-reference-v1.0.0,arch_weight * out['aem__channel_formation_index'],Channel-formation index multiplied by 1.15 for a two-repeat-unit copolymer and by 1.0 otherwise.,"arch_weight, out",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__architecture_weighted_segregation,aem__architecture_weighted_segregation,aem-reference-v1.0.0,arch_weight * out['aem__segregation_index'],Segregation index multiplied by 1.15 for a two-repeat-unit copolymer and by 1.0 otherwise.,"arch_weight, out",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__asymmetric_copolymer_flag,aem__asymmetric_copolymer_flag,aem-reference-v1.0.0,float(is_copolymer > 0 and abs(r1 - r2) >= 0.3),Binary indicator for a two-repeat-unit copolymer whose normalized composition fractions differ by at least 0.30.,"abs, float, is_copolymer, r1, r2","0, 0.3",Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_localization_contrast,aem__cation_localization_contrast,aem-reference-v1.0.0,abs(unit1[aem__local_charge_density] - unit2[aem__local_charge_density]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit local-charge-density structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__channel_bottleneck_penalty,aem__channel_bottleneck_penalty,aem-reference-v1.0.0,"max(0.0, weighted_channel - (0.0 if pd.isna(channel_h) else float(channel_h)))",Positive difference between the composition-weighted arithmetic channel summary and the composition-weighted harmonic channel summary.,"channel_h, float, max, pd, weighted_channel",0.0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__channel_formation_index,aem__channel_formation_index,aem-reference-v1.0.0,composition_balance * float(np.nanmean(channel_terms)),"Composition-balance factor multiplied by the mean of harmonic channel, harmonic water-network, harmonic hydration-overlap, free-volume-contrast, and accessibility-contrast terms.","channel_terms, composition_balance, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__channel_index_contrast,aem__channel_index_contrast,aem-reference-v1.0.0,abs(unit1[aem__channel_index] - unit2[aem__channel_index]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit channel-index structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__channel_index_harmonic,aem__channel_index_harmonic,aem-reference-v1.0.0,"weighted_harmonic(unit1[aem__channel_index], unit2[aem__channel_index], r1, r2)",Composition-weighted harmonic combination of the two repeat-unit channel-index summaries.,"mech__channel_index, r1, r2, unit1, unit2, weighted_harmonic",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__fluorination_contrast,aem__fluorination_contrast,aem-reference-v1.0.0,abs(unit1[aem__fluorination] - unit2[aem__fluorination]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit fluorination structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__free_volume_contrast,aem__free_volume_contrast,aem-reference-v1.0.0,abs(unit1[aem__free_volume] - unit2[aem__free_volume]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit free-volume-related structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_transport_window_contrast,aem__hydration_transport_window_contrast,aem-reference-v1.0.0,abs(unit1[aem__hydration_transport_window] - unit2[aem__hydration_transport_window]) when both values are finite; otherwise NaN,H = O(1 + 0.30D_hyd + 0.20F) / (1 + 0.35S + 0.25L); descriptor = |H1 - H2|,topology-classification rule,0,Fixed heuristic implementation choices; not physically calibrated constants.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_overlap_contrast,aem__hydration_overlap_contrast,aem-reference-v1.0.0,abs(unit1[aem__hydration_shell_overlap] - unit2[aem__hydration_shell_overlap]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit hydration-shell-overlap structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_overlap_harmonic,aem__hydration_overlap_harmonic,aem-reference-v1.0.0,"weighted_harmonic(unit1[aem__hydration_shell_overlap], unit2[aem__hydration_shell_overlap], r1, r2)",Composition-weighted harmonic combination of the two repeat-unit hydration-shell-overlap summaries.,"mech__hydration_shell_overlap_proxy, r1, r2, unit1, unit2, weighted_harmonic",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_overlap_index,aem__hydration_overlap_index,aem-reference-v1.0.0,composition_balance * float(np.nanmean(hydration_terms)),"Composition-balance factor multiplied by the mean of harmonic water-network, harmonic hydration-overlap, and hydration/transport-window-contrast terms.","composition_balance, float, hydration_terms, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydrophilic_contrast,aem__hydrophilic_contrast,aem-reference-v1.0.0,abs(unit1[aem__hydrophilic_density] - unit2[aem__hydrophilic_density]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit hydrophilic-density structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydrophobicity_contrast,aem__hydrophobicity_contrast,aem-reference-v1.0.0,abs(unit1[aem__hydrophobicity] - unit2[aem__hydrophobicity]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit hydrophobicity structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ionic_site_localization_flag,aem__ionic_site_localization_flag,aem-reference-v1.0.0,"float(out.get('aem__cation_localization_contrast', 0.0) >= 0.08 and is_copolymer > 0)",Binary indicator for a two-repeat-unit copolymer with local-charge-density contrast of at least 0.08.,"float, is_copolymer, out","0, 0.0, 0.08",Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__localization_penalty_contrast,aem__localization_penalty_contrast,aem-reference-v1.0.0,abs(unit1[aem__cation_localization_penalty] - unit2[aem__cation_localization_penalty]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit cation-localization-penalty structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__rigidity_contrast,aem__rigidity_contrast,aem-reference-v1.0.0,abs(unit1[aem__backbone_rigidity] - unit2[aem__backbone_rigidity]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit backbone-rigidity structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__segregation_index,aem__segregation_index,aem-reference-v1.0.0,composition_balance * float(np.nanmean(contrast_terms)),"Composition-balance factor multiplied by the mean hydrophilic, hydrophobicity, rigidity, and free-volume-related contrasts.","composition_balance, contrast_terms, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__spacer_contrast,aem__spacer_contrast,aem-reference-v1.0.0,abs(unit1[aem__spacer_length] - unit2[aem__spacer_length]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit cation-to-anchor-distance structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__transport_balance_contrast,aem__transport_balance_contrast,aem-reference-v1.0.0,abs(unit1[aem__transport_stability_balance] - unit2[aem__transport_stability_balance]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit transport/stability-balance structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__transport_heterogeneity,aem__transport_heterogeneity,aem-reference-v1.0.0,float(np.nanmean(heterogeneity_terms)),"Mean of hydrophilic-density contrast, cation-accessibility contrast, channel-index contrast, cation-localization-penalty contrast, and channel-bottleneck penalty.","float, heterogeneity_terms, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__water_network_contrast,aem__water_network_contrast,aem-reference-v1.0.0,abs(unit1[aem__water_network] - unit2[aem__water_network]) when both values are finite; otherwise NaN,The absolute difference between the two repeat-unit water-network structural summaries; undefined when either required local value is unavailable.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__water_network_harmonic,aem__water_network_harmonic,aem-reference-v1.0.0,"weighted_harmonic(unit1[aem__water_network], unit2[aem__water_network], r1, r2)",Composition-weighted harmonic combination of the two repeat-unit water-network summaries.,"mech__water_network_proxy, r1, r2, unit1, unit2, weighted_harmonic",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,"explicit contrast, harmonic, balance, or architecture rule shown",invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
